"","ID","sample","depth_cm"
"1",14,"MC1-b2","75-85"
"2",15,"MC3-b2","140-155"
"3",16,"MC3-b1","0-15"
"4",17,"MC3-b2","55-83"
"5",18,"MC1-b3","17-37"
"6",19,"MC3-b1","88-110"
"7",20,"MC3-b1","15-32"
"8",21,"MC3-b2","20-34"
"9",22,"MC3-b3","32-45"
"10",23,"MC3-b2","0-20"
"11",24,"MC3-b2","83-115"
"12",25,"MC3-b3","26-32"
"13",26,"MC3-b3","88-105"
"14",27,"MC3-b3","64-88"
"15",28,"MC1-b1","58-70"
"16",29,"MC2-b2","67-77"
"17",30,"MC1-b3","68-74"
"18",31,"MC2-b3","19-35"
"19",32,"MC2-b3","0-19"
"20",33,"MC3-b3","0-26"
"21",34,"MC3-b3","105-120"
"22",35,"MC2-b1","35-45"
"23",36,"MC2-b2","18-33"
"24",37,"MC2-b2","51-67"
"25",38,"MC2-b1","75-82"
"26",39,"MC2-b1","45-65"
"27",40,"MC3-b2","115-140"
"28",41,"MC2-b1","65-75"
"29",42,"MC2-b3","63-73"
"30",43,"MC2-b1","18.5-35"
"31",44,"MC1-b2","17-35"
"32",45,"MC1-b1","70-78"
"33",46,"MC2-b3","73-81"
"34",47,"MC2-b3","56-63"
"35",48,"MC2-b1","0-18.5"
"36",49,"MC1-b3","54-68"
"37",50,"MC2-b2","77-83"
"38",51,"MC2-b2","33-51"
"39",52,"MC2-b1","82-85"
"40",53,"MC2-b3","35-56"
"41",54,"MC2-b2","0-18"
"42",55,"MC3-b1","50-88"
"43",56,"MC1-b1","39-58"
"44",57,"MC1-b3","37-54"
"45",58,"MC3-b1","32-50"
"46",59,"MC1-b3","0-17"
"47",60,"MC1-b1","28-39"
"48",61,"MC3-b1","110-121"
"49",62,"MC1-b1","0-28"
"50",63,"MC1-b2","0-17"
"51",64,"MC3-b2","34-55"
"52",65,"MC1-b2","55-75"
"53",66,"MC3-b3","45-64"
"54",67,"MC3-b3","120-139"
"55",68,"MC1-b2","35-55"
"56",69,"MC3-b3","139-150"
